Instance_number,'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
68,135,54,6,155,0.037267,0.714286,0.957447,0.714286,0.042553,0.818182,0.402857,1.77305,0.77
69,132,57,6,155,0.037267,0.698413,0.956522,0.698413,0.043478,0.807339,0.394286,1.771337,0.78
70,128,61,6,155,0.037267,0.677249,0.955224,0.677249,0.044776,0.79257,0.382857,1.768933,0.79
71,125,64,6,155,0.037267,0.661376,0.954198,0.661376,0.045802,0.78125,0.374286,1.767034,0.8
72,123,66,6,155,0.037267,0.650794,0.953488,0.650794,0.046512,0.773585,0.368571,1.765719,0.81
73,121,68,6,155,0.037267,0.640212,0.952756,0.640212,0.047244,0.765823,0.362857,1.764363,0.83
74,118,71,6,155,0.037267,0.624339,0.951613,0.624339,0.048387,0.753994,0.354286,1.762246,0.84
75,117,72,6,155,0.037267,0.619048,0.95122,0.619048,0.04878,0.75,0.351429,1.761518,0.85
76,117,72,5,156,0.031056,0.619048,0.959016,0.619048,0.040984,0.752412,0.348571,1.775956,0.86
77,114,75,5,156,0.031056,0.603175,0.957983,0.603175,0.042017,0.74026,0.34,1.774043,0.87
78,111,78,5,156,0.031056,0.587302,0.956897,0.587302,0.043103,0.727869,0.331429,1.772031,0.88
79,110,79,5,156,0.031056,0.582011,0.956522,0.582011,0.043478,0.723684,0.328571,1.771337,0.89
80,108,81,5,156,0.031056,0.571429,0.955752,0.571429,0.044248,0.715232,0.322857,1.769912,0.9
81,105,84,5,156,0.031056,0.555556,0.954545,0.555556,0.045455,0.702341,0.314286,1.767677,0.91
82,99,90,5,156,0.031056,0.52381,0.951923,0.52381,0.048077,0.675768,0.297143,1.762821,0.92
83,96,93,5,156,0.031056,0.507937,0.950495,0.507937,0.049505,0.662069,0.288571,1.760176,0.93
84,87,102,3,158,0.018634,0.460317,0.966667,0.460317,0.033333,0.623656,0.257143,1.790123,0.94
85,83,106,3,158,0.018634,0.439153,0.965116,0.439153,0.034884,0.603636,0.245714,1.787252,0.95
86,73,116,3,158,0.018634,0.386243,0.960526,0.386243,0.039474,0.550943,0.217143,1.778752,0.96
87,66,123,2,159,0.012422,0.349206,0.970588,0.349206,0.029412,0.513619,0.194286,1.797386,0.97
88,59,130,2,159,0.012422,0.312169,0.967213,0.312169,0.032787,0.472,0.174286,1.791135,0.98
89,50,139,1,160,0.006211,0.26455,0.980392,0.26455,0.019608,0.416667,0.145714,1.815541,0.99
90,28,161,0,161,0,0.148148,1,0.148148,0,0.258065,0.08,1.851852,1
91,0,189,0,161,0,0,?,0,?,?,0,?,1.00001
