ID,logFC
BACE1,1.063021019
S100A4,1.061566761
MT1M,1.060764461
CP,1.059390317
NCF2,1.057673181
GUCA1C,1.057511964
LUM,1.057368545
F8,1.057084956
ANXA1,1.056969508
RBPJL,1.056135728
GPHA2,1.053530205
PM20D1,1.052253829
MT1F,1.051495564
MUC16,1.050118712
FAM83D,1.048589918
GPNMB,1.042997577
ALB,1.042347362
F5,1.041174091
FBN1,1.040910793
TPST2,1.040374476
TMEM200A,1.038982428
VSIG1,1.037815301
MSN,1.036145604
AKAP7,1.031009769
MMP7,1.030841055
TMED6,1.030720796
PRRX1,1.030301888
CCDC110,1.030140118
PLXDC2,1.029678493
THY1,1.026735969
ALKAL2,1.026325672
CXCL5,1.019874176
BNIP3,1.018257206
TRIM31,1.017974596
INHBA,1.013948944
PAK3,1.013697936
SEMA3C,1.011369957
MMP1,1.008594665
GNMT,1.008162875
TMEM45B,1.008018594
EGF,1.006174951
PDIA2,1.005629874
NRG4,1.005567468
HMCN1,1.001435221
CXCL8,1.000995875
LAMA4,-1.004161772
GPR87,-1.006855619
CHRM3,-1.008140711
NRCAM,-1.009305337
F11,-1.016147318
CKS2,-1.026056023
MMP9,-1.029187189
SERPINA1,-1.030092527
KLK10,-1.036871861
SFRP2,-1.038327445
LINC00339,-1.047005293
NR5A2,-1.056183824
KRT23,-1.067481468
LOX,-1.067994491
BIRC3,-1.071000409
GRPR,-1.073938795
IAPP,-1.076861325
MUC13,-1.081303385
SCNN1A,-1.081986107
MFAP5,-1.083879969
PSAT1,-1.088203544
ST6GALNAC1,-1.094001854
DPEP1,-1.098430937
TCEA3,-1.106876023
GBP3,-1.10733978
EPB41L4B,-1.111766467
NNMT,-1.12374995
SERPINB2,-1.12677485
AQP8,-1.128425046
SYBU,-1.128790755
MOXD1,-1.137488861
TSPAN8,-1.13904277
ADAM12,-1.15370214
KLK1,-1.155544033
ERP27,-1.157948649
SERPINI2,-1.192374777
RGS1,-1.193466239
RAB25,-1.195909656
C19orf33,-1.205241641
MACC1,-1.206253193
SERPINB3,-1.206974982
FGL1,-1.213662269
HOMER2,-1.221053286
DUOX2,-1.227390946
CTRL,-1.2309699
SFRP4,-1.236794062
S100A2,-1.237573956
PBLD,-1.242711733
RARRES1,-1.252216453
SLC17A4,-1.252402261
PLS1,-1.266232561
CYP2C18,-1.267605928
IGFBP2,-1.271548152
BEX1,-1.297728323
CXCL10,-1.305654392
SCGN,-1.329218726
IL22RA1,-1.355431942
PLA2G7,-1.357499746
CCL18,-1.359827971
LYZ,-1.36038525
SLC26A9,-1.368957595
PNLIPRP1,-1.373183741
PNLIPRP2,-1.374879766
ADH1B,-1.380692676
GRB14,-1.418346742
GP2,-1.448200094
KRT6A,-1.46359195
SLCO1B3,-1.466438228
KCNJ16,-1.500024676
CELA2B,-1.515015184
MUC1,-1.549289389
SULT1C2,-1.60523741
EPYC,-1.62793445
IMPA2,-1.660202989
LGALS4,-1.670027103
HPGD,-1.696357911
SLC4A4,-1.752569448
MUC17,-1.753529361
C6,-1.758339944
CTRC,-1.795452952
CPA2,-1.831242005
TMEM97,-1.849974651
ARL14,-1.877937424
CELP,-1.883662561
CYP3A5,-1.887441836
SPP1,-1.897833737
FAM3B,-1.92998383
CLPS,-1.937729409
GATM,-1.942895054
AZGP1,-1.978384903
TFF2,-2.009368322
PRSS3,-2.030020811
CEL,-2.049569416
REG1CP,-2.072452143
SYCN,-2.098745503
PLA2G1B,-2.107576139
CELA3B,-2.111649873
CELA3A,-2.23808089
DMBT1,-2.285849524
CPA1,-2.322755445
REG1A,-2.362770556
GC,-2.371165241
PNLIP,-2.384731361
REG1B,-2.413255024
FABP4,-2.548148075
SLC3A1,-2.575134684
OLFM4,-2.583886138
REG4,-2.593923446
CPB1,-2.678188444
PRSS2,-2.742993552
CFTR,-2.826093163
REG3G,-2.898572603
REG3A,-2.904068185
