	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
MYOF	1.67380041825975	8.5474123407933	16.4064892013262	2.56855244599876e-45	2.41729324640106e-42	92.2909858170993	up
ECT2	1.63971960056494	5.64591476428351	16.0560975279019	6.70999257934601e-44	5.98248812074323e-41	89.0602684356779	up
MLPH	1.54729748351805	6.61836961481881	16.0446855838581	7.46107795310929e-44	6.31953302628357e-41	88.9552107951239	up
FGD6	1.22561766902118	5.48571051690766	15.9895349962796	1.24572507136014e-43	1.00488489089718e-40	88.447653781133	up
PKM	1.20998603506564	8.43009878560431	15.98108134216	1.34752263994139e-43	1.03759243275487e-40	88.3698769529814	up
MET	1.58071702100775	7.99980704869625	15.9082576521558	2.65029975956072e-43	1.95200338812863e-40	87.7001309951072	up
KCNN4	1.13207307816419	5.21318451745218	15.7233891119943	1.4725592021066e-42	9.97806115347435e-40	86.0021051622045	up
APOL1	1.44273217511514	7.06174305372274	15.6387130430667	3.22646777668152e-42	2.0243097828513e-39	85.2254477520357	up
S100A16	1.22604243637274	7.75975418968142	15.5787354043747	5.62119651269707e-42	3.40082389018173e-39	84.6757633663796	up
GALNT5	2.03053301514733	5.77597150841705	15.5598497682773	6.69441840385559e-42	3.91046371590737e-39	84.5027565265223	up
HK2	1.49902978487881	6.36105352995887	15.5374698312549	8.23410336370907e-42	4.64952369937439e-39	84.297787416548	up
TRIM59	1.10207183551308	4.93087110452129	15.2972321161391	7.57174446554516e-41	4.00829222644797e-38	82.1009634562337	up
FN1	2.06514788108684	7.64449849569321	15.2383009101854	1.30356194078242e-40	6.6916179626831e-38	81.5630709825227	up
NQO1	1.67681165180914	6.08567839521869	15.2312925266007	1.39052394268425e-40	6.92808105560915e-38	81.4991293713105	up
ITGA3	1.5357226745257	6.41551061695402	15.2169035228366	1.5876463502912e-40	7.6842083354094e-38	81.3678682924816	up
TRIM29	1.9618346166587	5.94861887599114	15.1817941295405	2.19378067117095e-40	1.03229568248988e-37	81.0476931101188	up
AMIGO2	1.11780587695566	6.92402180997938	15.1388374197065	3.25787294112716e-40	1.49157750331606e-37	80.6561582150064	up
SDC1	1.18569805624731	6.86142360341068	15.1229302638451	3.77143001444568e-40	1.68126380117657e-37	80.5112275148643	up
CEACAM6	3.023457246197	8.09171321920476	15.1069977270366	4.36682495939904e-40	1.89676961056974e-37	80.3660968849623	up
THBS2	2.19940388963958	8.76621579021126	15.0656253707018	6.38863652373368e-40	2.70558756780121e-37	79.9893807676292	up
ANTXR1	1.49920158762053	6.06129156751033	15.0613316468946	6.64587381862724e-40	2.74588054847672e-37	79.9502965562016	up
STYK1	1.31139011745014	4.1254884986176	15.0542689552763	7.09168916845282e-40	2.86031463127597e-37	79.8860124994328	up
MYO1E	1.0296784933765	6.8066314329125	15.0422644281121	7.91901447365749e-40	3.11972337636646e-37	79.7767627437694	up
S100A11	1.16420839314712	9.03733282843574	14.8715836427831	3.79439708992635e-39	1.39732797181201e-36	78.225465554483	up
OSBPL3	1.35667434140804	6.18909455003217	14.8306788602796	5.52042508694282e-39	1.98970214835769e-36	77.8542623398149	up
IFI27	1.7635207579056	7.57634479590281	14.8261848719036	5.75248790973944e-39	2.03014885814555e-36	77.8134941457298	up
CD9	1.06156676148002	9.46184105370131	14.8235032464541	5.89557669132421e-39	2.03818508471494e-36	77.7891685153033	up
NHS	1.05736854468461	5.43541761137375	14.8127724701174	6.50461098753704e-39	2.20376220257755e-36	77.6918371021118	up
NTM	1.1854058172263	5.947108116102	14.800835896075	7.25614315699225e-39	2.41017774665586e-36	77.5835873705565	up
PLEK2	1.30130692873886	6.55952952598308	14.786391886999	8.28235179789841e-39	2.6472271595547e-36	77.4526247063913	up
S100A6	1.48690043949643	9.06663593756199	14.7832446555088	8.52450990470042e-39	2.67417032936343e-36	77.4240928543677	up
PLPP4	1.44391459663033	5.54209675395227	14.7648317262686	1.00897638109103e-38	3.10764725376037e-36	77.2571944477909	up
FERMT1	1.48842380965927	6.11207130503372	14.7616686428178	1.03861754903805e-38	3.14181808584009e-36	77.228528406512	up
GPRC5A	1.92771472889445	6.57921575758341	14.7528651993958	1.12577094627455e-38	3.34571225085804e-36	77.148752923064	up
TRIM16	1.03014011785204	5.94893611910093	14.7487746714822	1.16871495093781e-38	3.4134536670494e-36	77.1116888771647	up
FBXO32	1.48366301068185	6.77455493122073	14.7212787620647	1.50303685967239e-38	4.31549905133057e-36	76.8626112449412	up
PLAU	1.67120415009995	7.58852741001089	14.7176854824134	1.55326260060573e-38	4.38537807571018e-36	76.8300686577978	up
IL1RAP	1.13433197039356	6.38876801071161	14.6419518499593	3.10405993898129e-38	8.62012710923658e-36	76.1446165574363	up
VCAN	2.26183420243695	8.75013189605629	14.6242141386603	3.65007730936271e-38	9.97295316461359e-36	75.9841956896157	up
SDR16C5	1.91535628966733	5.02978864935679	14.5976333772802	4.65286182452661e-38	1.25110284615049e-35	75.7438842433282	up
SGIP1	1.05613572750265	4.61590450735768	14.581216497169	5.4051301455589e-38	1.43067038540262e-35	75.595514608991	up
CEACAM5	3.32457739679378	6.80665692199501	14.542710806539	7.68062678180425e-38	2.00168950282714e-35	75.2476721944984	up
ARNTL2	1.40983197547816	5.28255216671763	14.532144429593	8.45770008369999e-38	2.15212374983078e-35	75.1522594076093	up
LY6E	1.24378063890645	6.81181253460031	14.5314434781847	8.51194163156213e-38	2.15212374983078e-35	75.1459305183882	up
EDNRA	1.82759329969802	6.35662682118734	14.4856448562344	1.29228885105918e-37	3.21931957896212e-35	74.7325765362869	up
GJB2	1.901051712063	5.85729280339827	14.4094015429954	2.58773946653421e-37	6.26232950901279e-35	74.04516079829	up
IGFBP3	1.74967111914326	8.10964534975649	14.3971781055656	2.89221586167082e-37	6.90058263333855e-35	73.9350376937834	up
ITGB4	1.20546376551662	5.82668795152323	14.3896906322065	3.09612210491091e-37	7.28448728572094e-35	73.8675933564688	up
CDH11	1.74481100728356	7.52230834994887	14.3738676807989	3.5754537516421e-37	8.29701185655031e-35	73.7250953514981	up
S100A10	1.06506933181268	11.1622822659203	14.3668138896416	3.81235765465444e-37	8.7272079283576e-35	73.6615832715111	up
ADAM9	1.42253414068569	7.63381290868491	14.3094858022018	6.41965580495793e-37	1.44998625781316e-34	73.1456985731693	up
MST1R	1.22356865244298	5.44494589653561	14.2365338146133	1.24501812686456e-36	2.73903987910204e-34	72.4899886176274	up
MMP11	1.64963519467158	6.24032950891875	14.2108497935383	1.57167383252819e-36	3.41078226814512e-34	72.2593433573981	up
ANO1	1.22667395006483	5.8270170069933	14.2095282270669	1.59062455244076e-36	3.41078226814512e-34	72.2474785214352	up
TNFSF4	1.0014352207449	4.6605523804632	14.1688181830096	2.30064941416823e-36	4.8114816143222e-34	71.882133018663	up
ERO1A	1.1748950389025	7.21026307276984	14.0845437110396	4.93477547952986e-36	1.00716983883417e-33	71.1267203052418	up
P4HA1	1.07434159468505	7.52744502151553	14.0751439939356	5.37279006535309e-36	1.07076545537743e-33	71.0425396565037	up
TMSB10	1.07979214545525	11.3890737992727	14.0581951202966	6.26292162212118e-36	1.23364991021782e-33	70.8907901991394	up
COL12A1	1.98308638035279	8.66137447897082	14.0350310872876	7.72205380972804e-36	1.46651111546292e-33	70.6834753823612	up
CD109	1.5871177103134	5.81953904512105	14.0340423064392	7.79138136904742e-36	1.46651111546292e-33	70.6746280299774	up
ANLN	1.56728734872641	4.46315752918932	13.9986233995919	1.07302197375975e-35	1.97576002559676e-33	70.3578227642544	up
ENO2	1.25407555149869	5.63255150517648	13.9774302404867	1.29936373273517e-35	2.34161932260998e-33	70.1683665614298	up
PFKP	1.2034448796607	7.05529703805598	13.9512694714627	1.64546453110025e-35	2.90355928717066e-33	69.9346132873434	up
CST1	2.30595596621112	6.35606191245964	13.942616441864	1.77909522396244e-35	3.07529317284937e-33	69.8573233232946	up
FXYD3	1.31722425291722	7.05235195112881	13.8550688036248	3.91707193376014e-35	6.56982163939572e-33	69.0761033998353	up
ACTN1	1.05011871156236	9.00216087511265	13.8517235749222	4.036886668103e-35	6.70439805467302e-33	69.0462806327611	up
RAI14	1.11497772853694	7.117154282722	13.84939828121	4.12231826310807e-35	6.77981275505346e-33	69.0255518249074	up
EPHX2	-1.27154815230487	5.31142506274936	-13.8007354640501	6.38818329407273e-35	1.04053677886146e-32	68.5919788604899	down
COL17A1	1.55138335823318	5.0481267620119	13.7535684979339	9.76297018330045e-35	1.56023315948217e-32	68.1721586797656	up
COL5A2	1.90964701823029	8.47459279227122	13.674397627503	1.9877461301245e-34	3.11781661521381e-32	67.4684368105022	up
CTHRC1	1.98064598474244	8.3098179623307	13.6706751651842	2.05525741133347e-34	3.19413399522835e-32	67.4353790157013	up
SPOCK1	1.22710604827088	5.82925148387261	13.668200008368	2.10140863509749e-34	3.23616929805013e-32	67.4133995702318	up
SFN	1.22421234853742	5.58675117999027	13.6631503857615	2.19879348667161e-34	3.3556361859655e-32	67.3685625227336	up
COL8A1	1.50617696555629	4.94311827426546	13.6430092384404	2.63411853208098e-34	3.9488467197745e-32	67.1897731530811	up
S100P	2.3315776031034	6.81261427668535	13.6166583678315	3.33596444300963e-34	4.95712611092834e-32	66.9559816398421	up
AEBP1	1.5412914230716	8.31347177212662	13.5825714514989	4.52727129029149e-34	6.66886744848155e-32	66.6537580524293	up
SAMD9	1.11578958229715	5.50680158207798	13.5561039998825	5.73771632091125e-34	8.30742858771253e-32	66.4192506520005	up
XAF1	1.11717385592501	6.59714083805361	13.5437329644812	6.40937190565928e-34	9.20125085439561e-32	66.3096888602116	up
SLC6A6	1.11880688546855	5.43857606183133	13.5262253441774	7.49602299713822e-34	1.05818857976268e-31	66.154688686066	up
EFNB2	1.33494096680878	6.82217571452516	13.5241387240662	7.6372225150563e-34	1.06921115210788e-31	66.1362193584095	up
EGLN3	1.49016031205877	5.75322863603426	13.5061859223701	8.96704247291572e-34	1.24509589746879e-31	65.9773500549777	up
CST2	1.2908380468092	5.78854810775344	13.503028704292	9.22372431048818e-34	1.26880524757122e-31	65.9494177473454	up
AGR2	2.24868686809467	7.82543425568831	13.5005511293939	9.43027258572115e-34	1.27799054081693e-31	65.9274997536455	up
JPT1	1.23173960456023	6.60862822346791	13.4984081399608	9.61264455501011e-34	1.29236665684025e-31	65.9085426987015	up
DDX60	1.26222380061705	6.86450858593566	13.4956508860005	9.85247569604662e-34	1.3141806164648e-31	65.8841531916653	up
EPHX1	-1.12842504601591	7.25668292406368	-13.4567117676338	1.39514273425209e-33	1.81797830140234e-31	65.5398807261262	down
MYRIP	-1.08198610659245	4.56553623730991	-13.414357513239	2.0360490443705e-33	2.5739306575848e-31	65.1657698983987	down
FOXQ1	1.45427558687047	7.42762341416923	13.4052577461032	2.20820232856251e-33	2.73043412013496e-31	65.0854413623842	up
ABHD17C	1.23555582101152	6.45029624519628	13.4016475976656	2.28045635844034e-33	2.7993428052159e-31	65.05357744535	up
MTMR11	1.0994997278752	5.75706143262134	13.4005286674188	2.30332589524001e-33	2.80707486801193e-31	65.0437020901498	up
FAP	2.01732065926797	7.22455689596586	13.340087283615	3.94708220925678e-33	4.7420973492773e-31	64.5106561417159	up
