	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
LAMC2	2.90894425661799	6.99124626262944	20.4178410743338	1.16622899998706e-61	1.97559192597808e-57	129.539312581248	up
LAMB3	2.28665832535557	6.59437598976294	19.0953407588711	2.85807836657675e-56	2.42079237649051e-52	117.260069257346	up
TSPAN1	2.50198875040044	7.08066014010969	18.0707442411908	4.35033571029218e-52	2.45648956441165e-48	107.727431391093	up
ASAP2	1.14426484854938	7.17672202727498	17.9005865975486	2.15159541094828e-51	9.11200656536598e-48	106.144919537852	up
MBOAT2	1.50861449435649	6.03597716576013	17.4266974657936	1.83913171947104e-49	6.23097826556789e-46	101.741029711428	up
TMPRSS4	2.39302305800367	5.87982089286722	17.2470525051999	9.91101732889868e-49	2.79821055919239e-45	100.073395348755	up
SLC6A14	3.08982150025808	5.17221263323371	17.1925829285959	1.65121673775613e-48	3.99594450536984e-45	99.568004236031	up
NOX4	1.94334477946123	5.39121278282083	17.1276351115389	3.03432379232353e-48	6.42518063024508e-45	98.9655549395879	up
SULF1	2.41882234337017	7.93817186452499	16.9450459691385	1.67692759991887e-47	3.15635039362507e-44	97.2729059749363	up
ITGA2	2.06202922681496	7.15903369989668	16.8897155729602	2.81421424773699e-47	4.59436470897921e-44	96.760301606995	up
SLPI	2.16381879731241	7.92099212008544	16.8834768249251	2.98335370712936e-47	4.59436470897921e-44	96.7025131552645	up
CAPG	1.63003041624222	7.31745008082848	16.7871440854621	7.3447940895934e-47	1.03684009898093e-43	95.8104652048399	up
KRT19	2.65586462085942	8.00142245193836	16.7731896875713	8.36834096034793e-47	1.04509317893488e-43	95.6812889457747	up
COL11A1	2.58841759117475	6.22500778157261	16.7698079566572	8.6371337102056e-47	1.04509317893488e-43	95.6499858231938	up
CDH3	1.65651277220038	5.89797940920406	16.7441137272502	1.09820183699741e-46	1.24023594124907e-43	95.4121675055639	up
COL10A1	2.37310167274502	6.68402677335523	16.619687132895	3.5122142291412e-46	3.71855681510325e-43	94.2610612118497	up
CTSE	2.8897137402951	8.04638457883923	16.5671295209913	5.7375064552905e-46	5.71725643250712e-43	93.775121021288	up
