	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
GSM711904	723.45130511834	922.769879915742	1646.22118503408	0.662508679878647
GSM711905	-639.053053633428	-234.652607610121	-873.705661243549	0.888496824924356
GSM711906	720.13483080243	776.180128126594	1496.31495892902	0.678829523881866
GSM711907	681.217134817375	1117.76902156065	1798.98615637803	0.645546639749061
GSM711908	-302.285450231643	-224.066610878614	-526.352061110257	0.863955013260409
GSM711909	1809.083657095	2266.61093323695	4075.69459033195	0.359324955678643
GSM711910	1602.73262481394	1728.1377029867	3330.87032780064	0.459005953657937
GSM711911	1558.0868595498	2453.32820467744	4011.41506422724	0.368114146185077
GSM711912	786.433228483891	509.841616048947	1296.27484453284	0.700095344680712
GSM711913	1086.79733370538	1408.51308879679	2495.31042250218	0.564251614171563
GSM711914	1177.64253248084	1126.5483777153	2304.19091019614	0.587188116477033
GSM711915	1105.21735232353	1239.52971385454	2344.74706617807	0.58235894084221
GSM711916	1290.66299248777	664.116910015903	1954.77990250367	0.627914051778511
GSM711917	342.262983191016	781.245157515665	1123.50814070668	0.717976684951657
GSM711918	582.464166321438	534.182805810782	1116.64697213222	0.718677357741699
GSM711919	1613.87720398569	819.982789890708	2433.8599938764	0.571675669838692
GSM711920	978.842029920285	1675.37269791695	2654.21472783723	0.544842429047265
GSM711921	1576.08033863135	2134.28251165645	3710.3628502878	0.408829308022513
GSM711922	1114.34489442562	1432.52963319614	2546.87452762176	0.557986512431816
GSM711923	1319.92359828776	1891.24332365419	3211.16692194195	0.474545017924316
GSM711924	1044.2138506784	1864.2605475404	2908.4743982188	0.513174024296382
GSM711925	-300.852191242898	188.274509729359	-112.577681513539	0.831795321485374
GSM711926	444.19020899317	1125.55926417171	1569.74947316488	0.670875018118415
GSM711927	1766.83892160086	2587.52923652092	4354.36815812178	0.320860978122797
GSM711928	930.49392173099	1269.56827387601	2200.062195607	0.59949140412693
GSM711929	-516.573683541554	-14.0694967883286	-530.643180329883	0.864272033174873
GSM711930	718.833445399365	577.194499503905	1296.02794490327	0.700121222799465
GSM711931	509.529663408826	1198.79078582722	1708.32044923605	0.655653282557452
GSM711932	865.738669468188	1421.30401531577	2287.04268478396	0.589223770974777
GSM711933	1365.17071496247	2187.76974354682	3552.94045850929	0.429806697062993
GSM711934	1398.18085400515	1809.30797437553	3207.48882838068	0.475020186874229
GSM711935	-623.339343661351	-156.843210741661	-780.182554403012	0.88211370884172
GSM711936	495.815455185299	987.311986200253	1483.12744138555	0.68024968249539
GSM711937	216.102631547685	893.433487566479	1109.53611911416	0.719402759419726
GSM711938	51.0999422991616	383.459493894069	434.55943619323	0.784581483992083
GSM711939	280.806985254999	700.642903262899	981.449888517898	0.732334283692694
GSM711940	1324.79724401508	1425.85978393986	2750.65702795494	0.532917368080688
GSM711941	1387.98821055351	1845.45578009255	3233.44399064606	0.471664116322318
GSM711942	900.047495422149	1729.67145624402	2629.71895166617	0.547854029577656
GSM711943	1194.32025828038	1731.21478476858	2925.53504304896	0.51102301118978
GSM711944	1502.83339685881	2414.88504735808	3917.71844421688	0.38086673628072
GSM711945	1336.47187538318	1524.43822043833	2860.91009582151	0.519153914556604
GSM711946	1387.70173774358	1699.66960619599	3087.37134393956	0.490461135572065
GSM711947	1130.39225004644	1940.6534307509	3071.04568079734	0.492548115010764
GSM711948	1524.27880284156	2066.43138089076	3590.71018373232	0.424794181225669
GSM711949	-574.673294090702	-196.771433134348	-771.44472722505	0.88150882648803
GSM711950	1275.54479404813	1488.54259541602	2764.08738946414	0.531248181374195
GSM711951	698.111888555951	1011.24169392813	1709.35358248408	0.655538768358789
GSM711952	360.361852656497	1005.87795255674	1366.23980521324	0.692725234111676
GSM711953	-419.897658717852	-45.6636578035882	-465.56131652144	0.859427140632493
GSM711954	969.008726914142	1596.28658711333	2565.29531402747	0.55574059594175
GSM711955	1511.71641894994	1907.84617937195	3419.56259832188	0.447400872922422
GSM711956	1146.21340994249	1287.98602563066	2434.19943557315	0.571634787822867
GSM711957	-127.58770476527	1243.52642353629	1115.93871877102	0.71874964413698
GSM711958	1532.12182600175	2066.7165217897	3598.83834779145	0.423713759396853
GSM711959	311.885074296156	897.423136762005	1209.30821105816	0.709153388171083
GSM711960	1779.17420245643	2325.58727992967	4104.76148238611	0.355339975555704
GSM711961	-108.092499051463	209.300297894824	101.207798843361	0.813969475907178
GSM711962	1163.70961253697	1586.88366225695	2750.59327479391	0.532925286680796
GSM711963	-502.957855839812	-153.590879763631	-656.548735603443	0.873420544140881
GSM711964	1227.28225542268	1409.68078005122	2636.96303547391	0.546964151226695
GSM711965	1555.12493596127	1883.96005881626	3439.08499477753	0.444836182384539
GSM711966	1381.48676967877	1183.09966566341	2564.58643534217	0.555827099795636
GSM711967	742.389633677901	1157.51183433032	1899.90146800822	0.634163080875856
GSM711968	919.54418396269	1036.91428588705	1956.45846984974	0.627722268367931
GSM711969	304.10589750842	1024.71618127015	1328.82207877857	0.696675956635179
GSM711970	1043.31360302629	2182.67267830198	3225.98628132827	0.472629120814172
GSM711971	1953.67084376116	2019.45524556373	3973.12608932489	0.37333402244656
GSM711972	1071.53558593307	834.424243643254	1905.95982957632	0.633475226212392
GSM711973	927.429008522566	1147.32768236598	2074.75669088854	0.614110894941085
GSM711974	1589.58582428834	1794.07422053354	3383.66004482188	0.452107845917933
GSM711975	470.095674853816	1232.54917499138	1702.6448498452	0.656282106359405
GSM711976	1183.45592079813	915.7869723722	2099.24289317033	0.61127024922444
GSM711977	1215.46991774238	1579.75521796786	2795.22513571024	0.527370308360019
GSM711978	967.313822622664	1337.61775500149	2304.93157762415	0.587100108425745
GSM711979	1256.3218791609	1686.26337887457	2942.58525803548	0.508870111116957
GSM711980	1210.42525476535	1473.3756094749	2683.80086424025	0.541195612437321
GSM711981	736.613562336684	1094.77980503376	1831.39336737045	0.641906327298598
GSM711982	1523.99802336133	1107.59274384558	2631.59076720691	0.547624151168013
GSM711983	1750.53101999205	1617.90005498519	3368.43107497724	0.454100641561582
GSM711984	159.270655952382	808.846153053334	968.116809005715	0.733665586511772
GSM711985	-25.1394350884605	487.599423150455	462.459988061994	0.782035609923997
GSM711986	692.933399586418	816.199566805876	1509.13296639229	0.67744671980486
GSM711987	-544.601216749347	-20.693570642736	-565.294787392083	0.866819453933093
GSM711988	1111.55198756352	1285.08190274983	2396.63389031334	0.576150509219315
GSM711989	316.169981988385	835.508631822994	1151.67861381138	0.715092248449936
