ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
P4HA1,1.074341595,7.527445022,14.07514399,5.37E-36,1.07E-33,71.04253966
TMSB10,1.079792145,11.3890738,14.05819512,6.26E-36,1.23E-33,70.8907902
COL12A1,1.98308638,8.661374479,14.03503109,7.72E-36,1.47E-33,70.68347538
CD109,1.58711771,5.819539045,14.03404231,7.79E-36,1.47E-33,70.67462803
ANLN,1.567287349,4.463157529,13.9986234,1.07E-35,1.98E-33,70.35782276
ENO2,1.254075551,5.632551505,13.97743024,1.30E-35,2.34E-33,70.16836656
PFKP,1.20344488,7.055297038,13.95126947,1.65E-35,2.90E-33,69.93461329
CST1,2.305955966,6.356061912,13.94261644,1.78E-35,3.08E-33,69.85732332
FXYD3,1.317224253,7.052351951,13.8550688,3.92E-35,6.57E-33,69.0761034
ACTN1,1.050118712,9.002160875,13.85172357,4.04E-35,6.70E-33,69.04628063
RAI14,1.114977729,7.117154283,13.84939828,4.12E-35,6.78E-33,69.02555182
EPHX2,-1.271548152,5.311425063,-13.80073546,6.39E-35,1.04E-32,68.59197886
COL17A1,1.551383358,5.048126762,13.7535685,9.76E-35,1.56E-32,68.17215868
COL5A2,1.909647018,8.474592792,13.67439763,1.99E-34,3.12E-32,67.46843681
CTHRC1,1.980645985,8.309817962,13.67067517,2.06E-34,3.19E-32,67.43537902
SPOCK1,1.227106048,5.829251484,13.66820001,2.10E-34,3.24E-32,67.41339957
SFN,1.224212349,5.58675118,13.66315039,2.20E-34,3.36E-32,67.36856252
COL8A1,1.506176966,4.943118274,13.64300924,2.63E-34,3.95E-32,67.18977315
S100P,2.331577603,6.812614277,13.61665837,3.34E-34,4.96E-32,66.95598164
AEBP1,1.541291423,8.313471772,13.58257145,4.53E-34,6.67E-32,66.65375805
SAMD9,1.115789582,5.506801582,13.556104,5.74E-34,8.31E-32,66.41925065
XAF1,1.117173856,6.597140838,13.54373296,6.41E-34,9.20E-32,66.30968886
SLC6A6,1.118806885,5.438576062,13.52622534,7.50E-34,1.06E-31,66.15468869
EFNB2,1.334940967,6.822175715,13.52413872,7.64E-34,1.07E-31,66.13621936
EGLN3,1.490160312,5.753228636,13.50618592,8.97E-34,1.25E-31,65.97735005
CST2,1.290838047,5.788548108,13.5030287,9.22E-34,1.27E-31,65.94941775
AGR2,2.248686868,7.825434256,13.50055113,9.43E-34,1.28E-31,65.92749975
JPT1,1.231739605,6.608628223,13.49840814,9.61E-34,1.29E-31,65.9085427
DDX60,1.262223801,6.864508586,13.49565089,9.85E-34,1.31E-31,65.88415319
EPHX1,-1.128425046,7.256682924,-13.45671177,1.40E-33,1.82E-31,65.53988073
MYRIP,-1.081986107,4.565536237,-13.41435751,2.04E-33,2.57E-31,65.1657699
FOXQ1,1.454275587,7.427623414,13.40525775,2.21E-33,2.73E-31,65.08544136
ABHD17C,1.235555821,6.450296245,13.4016476,2.28E-33,2.80E-31,65.05357745
MTMR11,1.099499728,5.757061433,13.40052867,2.30E-33,2.81E-31,65.04370209
