Instance_number,'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
59,143,46,11,150,0.068323,0.756614,0.928571,0.756614,0.071429,0.833819,0.44,1.719577,0.7
60,140,49,10,151,0.062112,0.740741,0.933333,0.740741,0.066667,0.825959,0.428571,1.728395,0.71
61,138,51,9,152,0.055901,0.730159,0.938776,0.730159,0.061224,0.821429,0.42,1.738473,0.72
62,136,53,8,153,0.049689,0.719577,0.944444,0.719577,0.055556,0.816817,0.411429,1.748971,0.73
63,133,56,8,153,0.049689,0.703704,0.943262,0.703704,0.056738,0.806061,0.402857,1.746782,0.74
64,131,58,8,153,0.049689,0.693122,0.942446,0.693122,0.057554,0.79878,0.397143,1.74527,0.75
65,127,62,7,154,0.043478,0.671958,0.947761,0.671958,0.052239,0.786378,0.382857,1.755113,0.76
66,124,65,7,154,0.043478,0.656085,0.946565,0.656085,0.053435,0.775,0.374286,1.752898,0.77
67,123,66,7,154,0.043478,0.650794,0.946154,0.650794,0.053846,0.77116,0.371429,1.752137,0.78
68,119,70,7,154,0.043478,0.62963,0.944444,0.62963,0.055556,0.755556,0.36,1.748971,0.79
69,119,70,6,155,0.037267,0.62963,0.952,0.62963,0.048,0.757962,0.357143,1.762963,0.8
70,114,75,6,155,0.037267,0.603175,0.95,0.603175,0.05,0.737864,0.342857,1.759259,0.81
71,110,79,6,155,0.037267,0.582011,0.948276,0.582011,0.051724,0.721311,0.331429,1.756066,0.83
72,104,85,6,155,0.037267,0.550265,0.945455,0.550265,0.054545,0.695652,0.314286,1.750842,0.84
73,102,87,6,155,0.037267,0.539683,0.944444,0.539683,0.055556,0.686869,0.308571,1.748971,0.86
74,96,93,6,155,0.037267,0.507937,0.941176,0.507937,0.058824,0.659794,0.291429,1.742919,0.87
75,92,97,6,155,0.037267,0.486772,0.938776,0.486772,0.061224,0.641115,0.28,1.738473,0.88
76,85,104,6,155,0.037267,0.449735,0.934066,0.449735,0.065934,0.607143,0.26,1.729752,0.89
77,78,111,5,156,0.031056,0.412698,0.939759,0.412698,0.060241,0.573529,0.237143,1.740295,0.9
78,71,118,5,156,0.031056,0.375661,0.934211,0.375661,0.065789,0.535849,0.217143,1.730019,0.91
79,65,124,5,156,0.031056,0.343915,0.928571,0.343915,0.071429,0.501931,0.2,1.719577,0.92
80,63,126,5,156,0.031056,0.333333,0.926471,0.333333,0.073529,0.490272,0.194286,1.715686,0.93
81,58,131,4,157,0.024845,0.306878,0.935484,0.306878,0.064516,0.462151,0.177143,1.732378,0.94
82,49,140,3,158,0.018634,0.259259,0.942308,0.259259,0.057692,0.406639,0.148571,1.745014,0.95
83,47,142,3,158,0.018634,0.248677,0.94,0.248677,0.06,0.393305,0.142857,1.740741,0.96
84,38,151,2,159,0.012422,0.201058,0.95,0.201058,0.05,0.331878,0.114286,1.759259,0.97
85,33,156,2,159,0.012422,0.174603,0.942857,0.174603,0.057143,0.294643,0.1,1.746032,0.98
86,27,162,1,160,0.006211,0.142857,0.964286,0.142857,0.035714,0.248848,0.08,1.785714,0.99
87,11,178,0,161,0,0.058201,1,0.058201,0,0.11,0.031429,1.851852,1
88,0,189,0,161,0,0,?,0,?,?,0,?,1.00001
