	logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A6	1.48690043949643	9.06663593756199	14.7832446555088	8.52450990470042e-39	2.67417032936343e-36	77.4240928543677
PLPP4	1.44391459663033	5.54209675395227	14.7648317262686	1.00897638109103e-38	3.10764725376037e-36	77.2571944477909
FERMT1	1.48842380965927	6.11207130503372	14.7616686428178	1.03861754903805e-38	3.14181808584009e-36	77.228528406512
GPRC5A	1.92771472889445	6.57921575758341	14.7528651993958	1.12577094627455e-38	3.34571225085804e-36	77.148752923064
TRIM16	1.03014011785204	5.94893611910093	14.7487746714822	1.16871495093781e-38	3.4134536670494e-36	77.1116888771647
FBXO32	1.48366301068185	6.77455493122073	14.7212787620647	1.50303685967239e-38	4.31549905133057e-36	76.8626112449412
PLAU	1.67120415009995	7.58852741001089	14.7176854824134	1.55326260060573e-38	4.38537807571018e-36	76.8300686577978
IL1RAP	1.13433197039356	6.38876801071161	14.6419518499593	3.10405993898129e-38	8.62012710923658e-36	76.1446165574363
VCAN	2.26183420243695	8.75013189605629	14.6242141386603	3.65007730936271e-38	9.97295316461359e-36	75.9841956896157
SDR16C5	1.91535628966733	5.02978864935679	14.5976333772802	4.65286182452661e-38	1.25110284615049e-35	75.7438842433282
SGIP1	1.05613572750265	4.61590450735768	14.581216497169	5.4051301455589e-38	1.43067038540262e-35	75.595514608991
CEACAM5	3.32457739679378	6.80665692199501	14.542710806539	7.68062678180425e-38	2.00168950282714e-35	75.2476721944984
ARNTL2	1.40983197547816	5.28255216671763	14.532144429593	8.45770008369999e-38	2.15212374983078e-35	75.1522594076093
LY6E	1.24378063890645	6.81181253460031	14.5314434781847	8.51194163156213e-38	2.15212374983078e-35	75.1459305183882
EDNRA	1.82759329969802	6.35662682118734	14.4856448562344	1.29228885105918e-37	3.21931957896212e-35	74.7325765362869
CLIC1	0.899252778277733	8.91152653977612	14.4780024620866	1.38549415845973e-37	3.40148855714606e-35	74.6636315463643
GJB2	1.901051712063	5.85729280339827	14.4094015429954	2.58773946653421e-37	6.26232950901279e-35	74.04516079829
IGFBP3	1.74967111914326	8.10964534975649	14.3971781055656	2.89221586167082e-37	6.90058263333855e-35	73.9350376937834
ITGB4	1.20546376551662	5.82668795152323	14.3896906322065	3.09612210491091e-37	7.28448728572094e-35	73.8675933564688
CDH11	1.74481100728356	7.52230834994887	14.3738676807989	3.5754537516421e-37	8.29701185655031e-35	73.7250953514981
S100A10	1.06506933181268	11.1622822659203	14.3668138896416	3.81235765465444e-37	8.7272079283576e-35	73.6615832715111
ADAM9	1.42253414068569	7.63381290868491	14.3094858022018	6.41965580495793e-37	1.44998625781316e-34	73.1456985731693
TMEM159	0.710090857769572	6.03324412524675	14.2991380919819	7.05241220896855e-37	1.5719455634201e-34	73.0526379371974
MST1R	1.22356865244298	5.44494589653561	14.2365338146133	1.24501812686456e-36	2.73903987910204e-34	72.4899886176274
MMP11	1.64963519467158	6.24032950891875	14.2108497935383	1.57167383252819e-36	3.41078226814512e-34	72.2593433573981
ANO1	1.22667395006483	5.8270170069933	14.2095282270669	1.59062455244076e-36	3.41078226814512e-34	72.2474785214352
ZNF185	0.764901841798751	5.32269312969381	14.1974408319436	1.7748861216694e-36	3.75832136263496e-34	72.1389731582009
TNFSF4	1.0014352207449	4.6605523804632	14.1688181830096	2.30064941416823e-36	4.8114816143222e-34	71.882133018663
ACVR1	0.843844978048526	7.16042101369839	14.1083376583926	3.97877084272014e-36	8.21955830191208e-34	71.3398791298668
ERO1A	1.1748950389025	7.21026307276984	14.0845437110396	4.93477547952986e-36	1.00716983883417e-33	71.1267203052418
MINDY2	0.722297721167449	5.76526042599596	14.0777543608737	5.24739952304923e-36	1.0582255704816e-33	71.0659156702911
