	logFC	AveExpr	t	P.Value	adj.P.Val	B
FAHD2A	-0.261542564700137	6.00708560968068	-6.70453061040283	8.07069410379031e-11	3.06472894234942e-10	13.8637962916364
TEX101	-0.184400053285737	3.2986395052365	-6.70427277084684	8.08333637960163e-11	3.06884173622707e-10	13.862268173578
UNG	0.234948608968062	5.68229618775835	6.70379756585853	8.10668738984746e-11	3.0770173511991e-10	13.8594519312204
POM121L12	-0.212908935152223	4.51776717951001	-6.7036667786553	8.11312573392205e-11	3.07877127985304e-10	13.8586768644178
TM6SF1	0.620108487335537	5.60338884769017	6.70271846939763	8.1599591845288e-11	3.09585013630275e-10	13.8530573746066
PCSK1	-0.872743181334451	5.2190224457504	-6.70260594700575	8.16553383341918e-11	3.09727145405555e-10	13.8523906302906
SORBS2	-0.58927149626209	4.7174875861414	-6.701497111057	8.22066881556061e-11	3.11748667417947e-10	13.8458207551816
GCN1	0.259644443914663	6.67745287262494	6.70142341397375	8.22434620587313e-11	3.11818318548547e-10	13.8453841282361
XKR4	-0.32487406854585	3.82454806714122	-6.70124345238469	8.23333284904643e-11	3.12089188773431e-10	13.8443179404406
FEZ2	0.416403090597301	6.5301730307577	6.70053500375809	8.26880405058562e-11	3.13363625541209e-10	13.840120930267
CRYBB3	-0.196302595334363	4.90288810194937	-6.70030104891278	8.28055082592358e-11	3.13738606555906e-10	13.8387350040131
HBM	-0.214090776022711	3.72752232677717	-6.70024279231572	8.28347841268127e-11	3.13779347743338e-10	13.8383899032832
APMAP	0.263275778666576	7.36528136579106	6.69964060871054	8.31379974609221e-11	3.14857517770628e-10	13.8348228206966
LMCD1	0.557981558091402	7.28723377439619	6.69950154904454	8.32081719597519e-11	3.15052845998703e-10	13.8339991248667
PRKD1	0.441096516391453	5.91295246569922	6.69936933806998	8.32749442988031e-11	3.15235208138933e-10	13.833216008317
EXOC2	0.338913308437083	5.47364530814813	6.69899792489097	8.3462805891814e-11	3.15875766712987e-10	13.8310161049748
ZMYM5	0.310287368211283	5.30969888736725	6.69868361964777	8.36221072086486e-11	3.16407973221914e-10	13.8291545290639
AP1G2	0.283951743980976	6.49398831440679	6.69752979333228	8.42094722213414e-11	3.18559280801591e-10	13.8223211925422
MRGPRG-AS1	-0.199461971808755	3.89506212793554	-6.69702413363763	8.44681575195039e-11	3.19466530113953e-10	13.81932679709
SRY	-0.178423068235813	2.62480087332233	-6.69676251844807	8.46023007017601e-11	3.19902449528531e-10	13.8177776432163
C3P1	-0.19778694046201	3.76900332730798	-6.69648014820307	8.47473207768331e-11	3.20379293452254e-10	13.816105640772
CELF1	0.290268970252222	6.58220090203218	6.69627453504414	8.48530734049744e-11	3.2069871044905e-10	13.8148881752796
KCNS2	-0.180148388850228	4.33846807160829	-6.69621653837467	8.4882926145344e-11	3.2069871044905e-10	13.8145447737647
SLITRK2	-0.211571976082692	3.25682401409362	-6.69620550238524	8.48886078898195e-11	3.2069871044905e-10	13.8144794293159
NTN3	-0.219282219860791	4.1151737268142	-6.69593861788502	8.50261238892272e-11	3.2114660840212e-10	13.8128992229254
COL19A1	-0.192467911823767	3.6203497624478	-6.69332537085268	8.63842461800607e-11	3.262035511124e-10	13.7974289217036
AKNAD1	-0.201561266044965	3.00203830163148	-6.69321407983859	8.64425553336953e-11	3.26350988935324e-10	13.796770187634
BRINP1	-0.146749350001528	3.08305275662185	-6.69273586652936	8.66935477047311e-11	3.2722564574825e-10	13.7939397283732
PIGL	-0.210426314483726	4.63159269602054	-6.69265609093565	8.6735487865423e-11	3.27311019033251e-10	13.7934675660737
TMEM190	-0.237560499651933	4.61488862579349	-6.69236905841917	8.68865533883730e-11	3.27808065567715e-10	13.791768762502
RFX5	0.42250637277072	6.68915573159115	6.69025469414563	8.80073345662375e-11	3.31962646972181e-10	13.7792566203925
CDH24	-0.22392644695188	4.06206738789104	-6.69017552247905	8.80495764174645e-11	3.32048046418488e-10	13.7787881667368
HNF1A	-0.275449632034931	4.76687782246047	-6.68991599554361	8.81881860261662e-11	3.32496744109338e-10	13.7772525926017
ENSA	0.21036496700042	7.73345098772639	6.6897366999572	8.82840703388826e-11	3.32784190373981e-10	13.7761917597964
LARP4B	0.306913262346691	6.53084735538655	6.68889496679043	8.87355853880176e-11	3.34411750049615e-10	13.771211796192
TSGA10IP	-0.163018186348858	4.37513397296598	-6.68861036715644	8.88887601182395e-11	3.3491450097931e-10	13.7695281229592
FTH1	0.270807471120132	11.0440970615357	6.68787550426138	8.92854732819921e-11	3.363344268172e-10	13.7651809771318
CLDND2	-0.27737737376762	4.28418493437467	-6.68666750980115	8.99413857772138e-11	3.38729896635394e-10	13.7580357823321
TSSK1B	-0.194509049838807	2.97235230901083	-6.68653862367547	9.0011646603981e-11	3.38919158362178e-10	13.7572734896632
CDAN1	-0.217504978885163	5.10366307575354	-6.68638899282983	9.00932837854795e-11	3.39151161628005e-10	13.756388517291
BBX	0.333101970569718	5.86829246084318	6.6851658934989	9.07633268265736e-11	3.41597590855845e-10	13.7491552277922
AEBP2	0.327671623438663	7.43533411857448	6.68402930408289	9.13903623795886e-11	3.43881105888545e-10	13.7424344664748
PAPOLB	-0.160039396278755	3.95534104024218	-6.68286488298611	9.20371626455212e-11	3.46237960296498e-10	13.735550050024
KLK3	-0.174052331932396	3.91959408168984	-6.68277893613094	9.20850812132086e-11	3.46333406346081e-10	13.7350419424762
CHODL	-0.256436501669976	3.14642761214138	-6.68274604882486	9.21034235884944e-11	3.46333406346081e-10	13.7348475179852
TMC6	0.296862419946936	5.96691087578207	6.68257976613727	9.21962200670194e-11	3.4660540788622e-10	13.7338644926715
CLPS	-2.38473136107868	9.29635190406814	-6.68241366152	9.22890088201167e-11	3.4687725968777e-10	13.7328825389521
HRH3	-0.198978437498947	4.14873969326806	-6.68151659960664	9.27917092170460e-11	3.486893420889e-10	13.7275797417627
LRIG3	0.41373378417186	6.87037549814636	6.68105292982509	9.30525959499892e-11	3.49592143577915e-10	13.7248390689281
ZNF223	0.236414344695579	3.79462586139862	6.68074777948585	9.32246835189933e-11	3.50161006388414e-10	13.7230354576781
SMARCA5	0.275616019139445	7.63402424053468	6.68064763581753	9.32812269669199e-11	3.50295718204306e-10	13.7224435657917
ANGPTL6	-0.205080790976536	4.13820056534322	-6.68038363187381	9.34304511870299e-11	3.50778334022227e-10	13.7208832225231
CABP7	-0.175229541046451	3.54592731814601	-6.68011678502268	9.35815204945541e-11	3.51267661683525e-10	13.7193061252717
NOX3	-0.152648720443037	2.85265503441794	-6.67966223899628	9.38394038348662e-11	3.52157620948745e-10	13.7166198153138
SUGP2	0.224256167998103	6.14241336367593	6.67962082985711	9.38629316530743e-11	3.52167898605333e-10	13.7163750995256
SLC17A3	-0.139168044269621	2.78716531149353	-6.67947158383207	9.39477782299511e-11	3.52408184945831e-10	13.7154931093114
CEACAM19	-0.204237180937679	4.3252472516499	-6.67925261300489	9.40723997634415e-11	3.52797531988643e-10	13.7141990982342
TCF15	-0.224864307011732	4.60086285061379	-6.67888259518817	9.42833547134678e-11	3.53510409217828e-10	13.7120125474877
GABRG3	-0.178283398747394	2.88854152501874	-6.67839346138108	9.45629331507407e-11	3.54480214112314e-10	13.7091222469734
LOC162137	-0.238871433758811	3.8357574333993	-6.67778545204495	9.49115932456188e-11	3.55708493270085e-10	13.7055297370678
C1D	0.323002520442503	7.51404114743699	6.67743047152801	9.51157384002449e-11	3.56394737558095e-10	13.703432401018
ANKRD54	-0.199523506739482	3.99794779814278	-6.67729294867971	9.51949419940041e-11	3.56612630999211e-10	13.7026198961457
ETS2	0.631324276620584	7.94252191827573	6.67721955632017	9.52372373841011e-11	3.56692195729974e-10	13.7021862887711
ARX	-0.278896165514802	4.34792515126399	-6.67634403555909	9.57432176072874e-11	3.58507981049392e-10	13.6970139330444
PRDM13	-0.201288760687613	3.87973701646993	-6.67589860607617	9.60016518608619e-11	3.59396239231602e-10	13.6943826494378
TECTB	-0.166826975640168	3.25361247719107	-6.67542040397704	9.62798628415545e-11	3.6035812561554e-10	13.6915579194783
GATM	-1.12879075514953	5.88218568017011	-6.67449932403425	9.68179662099864e-11	3.6229210240715e-10	13.6861175603824
CABP2	-0.232256211627504	4.61357221723025	-6.67395751773207	9.7135872555994e-11	3.63401431338016e-10	13.6829176525417
SF1	-0.163940368392912	4.99033175796375	-6.67352706844639	9.73891702167017e-11	3.64268611938822e-10	13.6803755624786
PHF19	0.265106599644465	5.34796684082055	6.67299619245286	9.77024571463104e-11	3.65356362224224e-10	13.6772405604647
PRR30	-0.223773147915927	3.43340649506652	-6.67296123483646	9.77231214426185e-11	3.65356362224224e-10	13.6770341307074
LGI4	-0.301209631272102	4.86379749336581	-6.67237863608666	9.80681420579022e-11	3.66565385362062e-10	13.6735939244079
CSRP1	0.363893132930498	8.28596550271996	6.67193396862661	9.83322829160534e-11	3.67471624221916e-10	13.6709683494752
CEBPA	-0.31591435405107	6.16554236842578	-6.67074293163623	9.90432272401071e-11	3.70046817257921e-10	13.6639364424979
ACTL7B	-0.222732832690544	3.94958347938078	-6.67035704776131	9.92746465138714e-11	3.70800526768383e-10	13.6616583845261
SLCO6A1	-0.134370431215134	2.67110522207692	-6.6703335823902	9.9288736093352e-11	3.70800526768383e-10	13.6615198604525
SLC25A31	-0.125734932348515	2.55665213511367	-6.66905630733889	1.00058633936503e-10	3.73593400679823e-10	13.653980240064
SETX	0.363098481437776	7.25268207381822	6.66816877556658	1.00597056023704e-10	3.75520962768079e-10	13.6487418914093
FGFR1OP	0.2467873290553	5.4133303325944	6.6679298566624	1.00742481691672e-10	3.75980973751249e-10	13.6473318475842
CLOCK	0.279462774654162	6.70779834133093	6.66738156374153	1.01076998576149e-10	3.77146333894267e-10	13.6440960981077
ALDH5A1	-0.307479762126238	5.54953712563024	-6.66682653788796	1.01416733895454e-10	3.78330647916538e-10	13.6408208240424
LINC01138	0.248629682522731	5.33298509222849	6.66675822218741	1.0145862783597e-10	3.78403600955821e-10	13.6404176994979
MORC3	0.310431473507565	6.8420802923672	6.66633264593048	1.01719991202147e-10	3.79294882448684e-10	13.6379064859191
KCNIP4	-0.189041489143716	3.13971835456168	-6.66518029010671	1.02431021587481e-10	3.81862127132906e-10	13.6311073602919
MYO3A	-0.401055299232348	3.16244679228823	-6.6651064986153	1.02476718520947e-10	3.81948429426809e-10	13.6306720070082
HBZ	-0.205125056942242	2.68549624042636	-6.66465762061258	1.02755127156833e-10	3.82901859664925e-10	13.6280238076585
MNS1	0.376507443639817	4.58532924355168	6.66443809400604	1.02891554899192e-10	3.83325915986872e-10	13.6267287394194
LRRC15	0.461655144274845	4.51161120968905	6.66400725383382	1.03159823457803e-10	3.84240855183639e-10	13.6241871507221
MORC2-AS1	-0.189291321763146	4.70998767834772	-6.66307131069725	1.03744969700609e-10	3.8633541145929e-10	13.61866632478
STPG2	-0.229511702163471	3.35566107283318	-6.66186878021949	1.04501569632058e-10	3.89067382322431e-10	13.6115738677676
MMP10	0.780885688505519	4.0419695119934	6.66112199604672	1.04974149988088e-10	3.90740958206593e-10	13.6071698758163
MMP17	-0.245106142355702	4.62557083387441	-6.66086750822221	1.0513567392372e-10	3.91256220621225e-10	13.6056691783805
SOD1	0.345646362439573	9.14056691430232	6.6606659412358	1.0526378203686e-10	3.91646928992843e-10	13.6044805830534
TADA2B	-0.223305454586321	5.66952047234606	-6.66016617943018	1.05582072523829e-10	3.92744907455789e-10	13.6015337199053
PLK4	0.382370852912345	3.41955971394906	6.65922409236301	1.06184644407118e-10	3.94899643525045e-10	13.5959791359751
NT5M	-0.237216193604102	4.37556799161993	-6.65746874606367	1.07316407060783e-10	3.99021056981928e-10	13.585631166025
SLC6A17	-0.263402123469569	4.61592849281036	-6.65694287397069	1.07657763359008e-10	4.00202438293087e-10	13.5825315004974
B3GALNT1	0.35752645152912	5.35658893350428	6.6564829143039	1.07957208045858e-10	4.01227534948844e-10	13.5798205003265
ZMYND10	-0.191835647604776	4.11784895307248	-6.65522252382548	1.08781948584877e-10	4.04204037953019e-10	13.5723925084077
LINC02487	-0.213957845945114	3.60933470226271	-6.6527803803018	1.10397614067936e-10	4.1011745226115e-10	13.5580030690168
AMPD2	0.297927447967594	5.9699374317476	6.65261662589428	1.10506788977192e-10	4.10433020231008e-10	13.55703835236
GADD45G	-0.332413307595681	4.91200129408865	-6.65172177338937	1.11105261002507e-10	4.1245806802834e-10	13.5517668858068
ALX4	-0.200923887010272	3.95056629191822	-6.65170029060106	1.11119667602446e-10	4.1245806802834e-10	13.5516403400868
BEND5	-0.174384640145678	3.86629347519159	-6.65169224094891	1.11125066262181e-10	4.1245806802834e-10	13.5515929231844
PRX	-0.22257309272476	5.12007002513412	-6.6510882702502	1.11530866523708e-10	4.13873576979543e-10	13.5480353286605
ADAMTSL5	-0.272658176421976	4.43035386443564	-6.65092660353815	1.11639734919934e-10	4.14186839584689e-10	13.547083098772
AIFM3	-0.185668221601672	4.22922294748766	-6.65087269837567	1.11676058520005e-10	4.14230880518698e-10	13.546765597034
HGS	0.212350355502794	6.86211303009849	6.65046708203375	1.11949752476211e-10	4.15155167895581e-10	13.5443765782654
LINC00028	-0.235819674981522	3.82444572357072	-6.64997182809148	1.12284823293095e-10	4.16306611202676e-10	13.5414597607621
OTOP2	-0.203684331572435	4.01566478933377	-6.64896536377754	1.12968796590211e-10	4.18750856507258e-10	13.5355326685717
MPIG6B	-0.199526655486383	3.69804275717655	-6.64886290242808	1.13038656253815e-10	4.18918144156557e-10	13.5349293102629
THAP7	-0.185330570803605	5.67075775240458	-6.64834056134485	1.1339545583345e-10	4.20148517458145e-10	13.5318535421409
SYNC	0.482130796720377	4.99829752053282	6.64781746942989	1.13753876164452e-10	4.21384356489353e-10	13.5287735405522
ARMC9	0.323040285719693	5.14252147486071	6.64774710016299	1.138021776706e-10	4.21471117127232e-10	13.5283592157513
CD300LG	-0.292488765450999	3.90869213597632	-6.64726777095471	1.14131725581592e-10	4.22599219967687e-10	13.5255370801628
SPOCD1	0.286843479640718	4.35559506727537	6.64673358869421	1.14500089790935e-10	4.23870524706826e-10	13.5223921734175
KLHL7	0.291222328426726	4.92696167634346	6.64644030610324	1.14702829162241e-10	4.24464376691731e-10	13.5206656056307
POF1B	0.61133247125427	4.0012221904596	6.64642904487163	1.14710620808426e-10	4.24464376691731e-10	13.520599311432
MC2R	-0.157404067334228	3.32293524832047	-6.6461303500238	1.14917477534394e-10	4.25136944623856e-10	13.5188409444768
G3BP1	0.265502073873242	6.64028023841526	6.64585605689701	1.15107757705588e-10	4.25747907321542e-10	13.5172262803732
TMEM44	0.251591578098114	4.8834549806955	6.64568529824415	1.1522637103441e-10	4.26093587715106e-10	13.5162211122466
RFC1	-0.324021152217228	6.97991459488237	-6.64466135603113	1.15940148424241e-10	4.28585190941695e-10	13.5101941126343
CSF2RA	0.54598497892461	5.3552334822766	6.6446461753284	1.15950763287237e-10	4.28585190941695e-10	13.510104763313
STRIP2	0.41282753428732	3.47703717886126	6.64240791634379	1.1752631465082e-10	4.34314085991469e-10	13.4969327367074
SH3TC1	0.306110521111295	5.76725739538261	6.64179618712687	1.179605662584e-10	4.35823771519585e-10	13.4933333440439
FSTL4	-0.258511027409478	3.62127711061109	-6.64175680545648	1.17988576241594e-10	4.35832202689185e-10	13.4931016325246
ART5	-0.192924635551733	4.21789082639918	-6.64160726723112	1.18094993906095e-10	4.36130193322268e-10	13.4922217981551
LRP4	-0.37312247805442	4.63862386361617	-6.64095313971131	1.18561606976981e-10	4.37757982168713e-10	13.4883733048221
ATOH8	-0.19226448079351	3.91262210430563	-6.64082495450994	1.18653258007964e-10	4.38000913195667e-10	13.4876191745666
SGO2	0.37073003125865	4.07812999196947	6.64076513613113	1.18696051296863e-10	4.38063422433304e-10	13.487267259108
LINC00527	-0.160501986854077	3.07601262297289	-6.64044085813068	1.18928299361114e-10	4.38824959960198e-10	13.4853595530925
PROKR2	-0.15776494905714	3.00805176657494	-6.63996409623356	1.19270566696608e-10	4.39992029582e-10	13.4825549256399
NR2F2	0.350508337365419	6.64325992091015	6.63968285410223	1.19472923628534e-10	4.40642570491479e-10	13.4809005474697
TSPYL1	-0.198553406355859	3.23634584581791	-6.63941947903332	1.19662730555971e-10	4.41246551070561e-10	13.479351319767
LRIG2	0.258837017995581	5.35457753961209	6.63890122148662	1.20037088728879e-10	4.4253063831713e-10	13.4763029587912
MORN5	-0.247444498585395	3.05454324280372	-6.63859245461395	1.20260669631045e-10	4.43258429841146e-10	13.4744868976315
PRPH2	-0.295902168833037	4.15084676159623	-6.63816298216837	1.20572334387234e-10	4.44310494783501e-10	13.4719609965405
CMTM6	0.264148320967353	4.22104375699556	6.63789328884001	1.20768453816075e-10	4.44936408796068e-10	13.4703748858487
IL36A	-0.1786398300349	3.42105548548835	-6.63575949954793	1.22331212014885e-10	4.50595940754979e-10	13.4578274840384
SAR1A	0.300448152876488	8.41948516296113	6.63408616700129	1.23570609019145e-10	4.55062199300939e-10	13.4479899136602
RNF130	-0.239253380570238	5.98881606108203	-6.63396573546262	1.23660283696698e-10	4.55293459209317e-10	13.4472819674469
LRRC38	-0.149905648872782	3.07865084099762	-6.63352397483655	1.23989770854007e-10	4.56407370331786e-10	13.4446852018449
PRM2	-0.268673693772954	3.84926122754541	-6.63345932132704	1.24038064903822e-10	4.5648594817961e-10	13.4443051656315
FAM92A	-0.349216848245411	6.27189262412892	-6.63160412379127	1.25431729964529e-10	4.6151466238035e-10	13.4334014566905
RTL8A	0.240339104332367	6.31200871917693	6.63155253614132	1.25470702568091e-10	4.61557807058299e-10	13.4330982900773
UNC45B	-0.166251833173479	3.14598624779972	-6.63046788544524	1.26292874506878e-10	4.64481392563289e-10	13.4267245163436
SYCP2L	-0.230516413040337	3.07424230082206	-6.63006613578815	1.26598743368164e-10	4.65454656594668e-10	13.4243639051289
AZGP1	-1.15370213970417	7.1321213802582	-6.63004814287505	1.26612459125634e-10	4.65454656594668e-10	13.4242581844945
NR2E1	-0.170392645672868	3.02549327533702	-6.63000706968654	1.26643774134094e-10	4.65468764120537e-10	13.4240168523375
RFC2	0.249794803315615	5.88067729306383	6.6298629781715	1.26753692472452e-10	4.65771702924802e-10	13.4231702285329
TMEM41A	0.35138204235934	5.97470233123427	6.62953184870352	1.27006645258823e-10	4.66577266686507e-10	13.4212246990605
ZNRF4	-0.265898420970565	4.22650366257721	-6.62950392115884	1.27028002004614e-10	4.66577266686507e-10	13.4210606160532
L1TD1	-0.180044543161382	3.13202961779236	-6.62926693903409	1.27209368842475e-10	4.67142143548998e-10	13.4196682939953
BAK1	0.288132097181539	4.97945771323435	6.62916666542007	1.27286186612172e-10	4.67262028209467e-10	13.4190791761137
TFCP2L1	0.403887524225239	4.79557230467982	6.62915231773922	1.27297181829202e-10	4.67262028209467e-10	13.4189948825666
OR7C1	-0.164160836080098	2.87438418162865	-6.62791757890957	1.28246913400922e-10	4.70646168330072e-10	13.4117412432543
HOXC13	-0.219724638387887	4.03943054006969	-6.6277411211222	1.28383207253023e-10	4.71044299516182e-10	13.4107047039366
STRN3	0.30424510206589	7.14268116680633	6.62730301480544	1.28722210222386e-10	4.72185077416734e-10	13.4081312948497
STK32C	-0.214902282035802	4.80049930941063	-6.62726731332055	1.2874987441487e-10	4.72185077416734e-10	13.4079215923829
CYP2W1	-0.225472847661122	4.76471102753472	-6.62655907896676	1.29299875288598e-10	4.74099542724859e-10	13.4037617649119
GSTA1	-0.666484084050003	4.58890410535458	-6.62512335093874	1.30421918794404e-10	4.78110215186584e-10	13.3953300494051
BCAR1	0.214584037512935	5.83939923680775	6.62421562132027	1.31136248854947e-10	4.80624849762613e-10	13.3899998848512
DGKA	0.401031587843436	6.61969920860444	6.62410341595446	1.31224814147523e-10	4.80845414592049e-10	13.3893410572765
PTPRT	-0.220007004312558	3.56417000887773	-6.62393643986162	1.31356719452631e-10	4.81224659932434e-10	13.3883606527049
HOOK1	-0.629396206459758	5.28875104047258	-6.62322035344183	1.31923880125499e-10	4.83197952286693e-10	13.3841563499369
UPF3B	0.356064175223788	5.44920815882002	6.62238637173182	1.32587447328321e-10	4.85523423636351e-10	13.3792603027508
GAS8-AS1	-0.150169452849142	3.1356957018994	-6.6221240296192	1.32796859384715e-10	4.86185173541621e-10	13.3777202728451
DRC3	-0.233959133293943	3.5450908864272	-6.61862478055429	1.35621338403122e-10	4.96418641432345e-10	13.3571831238942
CELA1	-0.172175478289807	3.2284551639199	-6.61846850027354	1.35748848753759e-10	4.96778029355948e-10	13.3562661091807
DSG3	0.819527218383648	3.85313311315823	6.61783343305401	1.36268216922983e-10	4.98570970772212e-10	13.3525398621684
KCNJ9	-0.194780394817646	3.7911333275005	-6.61766157969731	1.3640909631615e-10	4.98978642106583e-10	13.3515315630474
TTTY11	-0.153124521542887	3.19045963444114	-6.61664834224047	1.37242623721183e-10	5.01919267235933e-10	13.3455871033985
LINC01121	-0.132736682614054	3.35412517745525	-6.61641533543199	1.37435009729753e-10	5.02514367541987e-10	13.3442201995286
LINC02145	-0.166670193540413	3.33152460657612	-6.61633117744431	1.37504561238351e-10	5.02580481822864e-10	13.3437265069326
SPON1	0.837890012778254	7.6224552977586	6.61632166100877	1.37512428172903e-10	5.02580481822864e-10	13.3436706813592
STK11	-0.243952360465552	5.46132033075042	-6.61606930871919	1.37721201026675e-10	5.03234932138021e-10	13.3421903482534
KLF9	-0.282915882453339	4.99645250546717	-6.61488901169693	1.38701806611604e-10	5.06708778089405e-10	13.3352671468638
RGR	-0.172838346613401	3.64539329155689	-6.61480038227322	1.3877571703481e-10	5.06869479639863e-10	13.3347473170275
CSNK1D	0.286229266262752	7.46274749144533	6.61470221680853	1.38857624931934e-10	5.07059315875613e-10	13.3341715626647
ZNF366	-0.186432055951586	3.45414572103017	-6.61459277849231	1.38948994672398e-10	5.07283614170351e-10	13.3335296992596
PLPPR3	-0.239540442042333	4.26939229204996	-6.61276643838704	1.40482538694773e-10	5.12771860695855e-10	13.3228193048043
CT55	-0.222296978192786	3.25055840900702	-6.60999380925804	1.42842466809226e-10	5.21273457076321e-10	13.3065638854748
NDUFS1	0.28471922844549	7.6821343058429	6.60959935755825	1.43181350921006e-10	5.22397605987903e-10	13.3042517177386
RFT1	-0.274882381238344	4.4399800379076	-6.60954050470115	1.43231980599319e-10	5.22469800032829e-10	13.303906747622
GPR78	-0.233711280077267	3.89474562122897	-6.60904360925755	1.43660148638909e-10	5.23918819793998e-10	13.3009942556278
BMP8A	0.303961594804892	5.43551511104553	6.60841925545234	1.44199926947008e-10	5.2577416325491e-10	13.2973349234054
RBMXL2	-0.233663349529861	3.29235798960202	-6.60806086056901	1.44510672035038e-10	5.26793799068979e-10	13.2952344955715
MED16	-0.234935527156971	5.50145135379814	-6.60794443091027	1.44611763339047e-10	5.27048896506769e-10	13.2945521608778
NAPB	0.306601986637553	4.88488153589656	6.60776603504777	1.44766792119231e-10	5.27500421273345e-10	13.2935066920888
ACRV1	-0.156250965958495	3.07287434340403	-6.60722045192882	1.45241925213525e-10	5.29117895294003e-10	13.2903095001104
CER1	-0.187690451681209	3.01117566978625	-6.60612065276778	1.46204366237807e-10	5.32509560109321e-10	13.2838651501783
OSTF1	0.336671538553412	6.9658211899929	6.6055407602691	1.46714351022466e-10	5.34252172467878e-10	13.2804675655956
B3GNT4	-0.211829670872803	4.87767814261082	-6.60513851689121	1.47069127875861e-10	5.35428976191077e-10	13.2781109617858
OR12D3	-0.162232837614086	2.74766576944189	-6.60372572842502	1.48321885316159e-10	5.3987381548254e-10	13.2698348110234
OR1I1	-0.182419318565012	4.6273222969599	-6.60262869101806	1.49301875508156e-10	5.43275231614216e-10	13.2634092879882
ZNF121	0.310742264294934	7.23575239316738	6.6026078968423	1.49320512301995e-10	5.43275231614216e-10	13.2632875012054
KRT15	0.536867278952436	4.18993390629705	6.60153386072721	1.50286228482855e-10	5.46671400150219e-10	13.2569975204673
CYTH3	0.272726136169298	5.09115331789577	6.60112927998089	1.50651593039915e-10	5.47842699942941e-10	13.2546283418796
UVRAG	0.337499688147738	6.59718028779015	6.60110570186779	1.50672912575806e-10	5.47842699942941e-10	13.2544902746295
ABCA8	-0.608702892953472	4.28601174114098	-6.60067740976322	1.51060693808521e-10	5.49134796806083e-10	13.251982375123
P2RY1	-0.286087852493306	3.76329110376433	-6.60056822079646	1.51159711488225e-10	5.49376853166815e-10	13.2513430304383
SAMD8	0.345983126835069	7.14392258407813	6.60044198689639	1.51274265700488e-10	5.49675259752525e-10	13.2506038911695
RELB	0.340468336997857	5.63213506446229	6.59992359018793	1.51745592160286e-10	5.51269639973245e-10	13.2475686304082
CAMK2D	0.402521656151774	6.5408177675848	6.59954006912524	1.52095216831034e-10	5.52421306414606e-10	13.245323198448
HIST3H2A	0.309611569275888	5.10309289125758	6.59842667175992	1.53114694646835e-10	5.5600491475185e-10	13.2388050756684
PCOLCE	0.641183283653286	7.79412807044013	6.59835593619148	1.53179689456733e-10	5.56121718687755e-10	13.23839099985
UBLCP1	0.313071073929152	6.7165165866267	6.5980850827723	1.53428811364149e-10	5.56906806194275e-10	13.2368054949303
C16orf86	-0.203063516946821	5.03709579447925	-6.59785744948202	1.536384883027e-10	5.57548412992233e-10	13.2354730284922
ZNF703	0.442546094509214	5.81082463128254	6.59751157978105	1.53957613165577e-10	5.58586842369861e-10	13.2334485259313
TRIM15	0.444492884098229	5.39688021654375	6.59699324685127	1.54437083564701e-10	5.60206465864247e-10	13.2304146873276
DEPTOR	0.506560386238341	7.24555497973981	6.59694816325487	1.54478856175866e-10	5.6023802689342e-10	13.2301508186801
CCDC63	-0.194462444678121	3.51036746966809	-6.59612723257927	1.55241438922735e-10	5.62883128285772e-10	13.2253462596638
TMEM127	0.20835108429145	7.23326330024987	6.59582046840096	1.55527346854167e-10	5.63799113141363e-10	13.2235510185109
HSD11B1L	-0.203599086153326	4.40406400402943	-6.59537192283747	1.55946327128085e-10	5.65197000759471e-10	13.2209261632602
SURF2	-0.237968886112719	5.32968450006908	-6.59472834078687	1.5654942371801e-10	5.67261441237026e-10	13.2171602117443
MELTF	0.368351282921705	4.61890312775596	6.59448502368442	1.56778030344223e-10	5.67968313522484e-10	13.2157365044741
GBX1	-0.192361922357015	4.04477779178905	-6.59244545562126	1.58707216453253e-10	5.7483434823992e-10	13.203804106238
ST8SIA5	-0.135729245244933	3.17418717280264	-6.59128896761845	1.59811444566186e-10	5.78710104948951e-10	13.1970394037437
H1FNT	-0.208441928451462	3.62259241778364	-6.59122172406203	1.59875880901804e-10	5.78819709868896e-10	13.1966461011121
RPS8	-0.144896887595819	6.17155741197905	-6.59102174298168	1.60067664055168e-10	5.79390219891997e-10	13.1954764448986
RANGAP1	0.238761040192198	5.83910817124104	6.59097477752964	1.60112736953215e-10	5.79429558638637e-10	13.1952017557564
HTR1F	-0.277987937638033	3.18573492026716	-6.59061677885915	1.60456718991629e-10	5.80550367304183e-10	13.1931079614712
GPAM	-0.61665978736291	5.08936665951226	-6.59030864499345	1.60753369195281e-10	5.81499481991897e-10	13.1913058778609
ZNF541	-0.169229169233522	3.6683378372035	-6.5896319901535	1.61406696028231e-10	5.83738136361705e-10	13.1873487742071
NTSR2	-0.201979177565705	3.67268741396731	-6.58934165513711	1.6168781978512e-10	5.84630025007457e-10	13.1856509808288
SPHK1	0.395056120503305	5.42022784625494	6.58818009578465	1.6281734144631e-10	5.8858851133173e-10	13.1788591078192
ETFBKMT	-0.184081771140422	3.47737917322067	-6.58792613854373	1.63065323704123e-10	5.89359202805172e-10	13.1773742925898
LINC00205	-0.166598905392919	3.69601992159014	-6.58735523522715	1.63624148962521e-10	5.91252790833e-10	13.1740365472278
CXCL3	0.728006878591023	5.50194615775871	6.58716935737774	1.63806499578879e-10	5.91785477258737e-10	13.172949874313
